Hour,Day_of_Week,Month,Weather_Condition,Precipitation,Special_Event,Temperature_C,Parking_Duration_Min,Parking_Zone_ID,Available_Binary
7,5,10,Sunny,0,0,10.2,30,Zone_C_Shopping,Available
10,3,8,Light Rain,1,0,25.7,180,Zone_C_Shopping,Available
3,6,8,Light Rain,1,0,11.7,180,Zone_C_Shopping,Available
16,6,5,Cloudy,0,0,22.6,60,Zone_B_University,Unavailable
6,1,3,Heavy Rain,1,0,22.1,180,Zone_C_Shopping,Unavailable
7,1,6,Sunny,0,0,1.9,90,Zone_A_Downtown,Unavailable
2,1,9,Sunny,0,1,5.9,360,Zone_B_University,Available
21,6,8,Sunny,0,0,10.5,90,Zone_D_Residential,Available
1,5,7,Heavy Rain,1,0,10.6,240,Zone_E_Airport,Unavailable
22,6,11,Cloudy,0,1,15.7,30,Zone_E_Airport,Available
14,1,8,Heavy Rain,1,0,-1.7,180,Zone_A_Downtown,Unavailable
23,4,4,Sunny,0,0,11.7,120,Zone_E_Airport,Available
21,0,6,Light Rain,1,0,16.5,15,Zone_E_Airport,Available
21,5,5,Cloudy,0,0,18.9,120,Zone_E_Airport,Unavailable
4,4,12,Overcast,0,1,7.4,180,Zone_D_Residential,Available
23,2,2,Heavy Rain,1,0,3.9,30,Zone_E_Airport,Available
0,4,8,Heavy Rain,1,0,9.4,240,Zone_C_Shopping,Available
3,4,3,Light Rain,1,1,16.4,15,Zone_A_Downtown,Unavailable
14,2,5,Sunny,0,0,2.4,15,Zone_A_Downtown,Unavailable
19,4,8,Overcast,0,0,9.8,15,Zone_A_Downtown,Available
18,0,11,Light Rain,1,0,8.4,30,Zone_D_Residential,Unavailable
2,5,9,Cloudy,0,0,-0.3,15,Zone_D_Residential,Available
19,3,9,Overcast,0,0,-0.6,240,Zone_E_Airport,Unavailable
10,6,5,Sunny,0,0,23.9,120,Zone_C_Shopping,Unavailable
16,2,2,Sunny,0,0,18.5,240,Zone_E_Airport,Unavailable
12,5,7,Overcast,0,1,20.1,120,Zone_A_Downtown,Available
10,1,11,Cloudy,0,0,9.3,360,Zone_C_Shopping,Available
1,0,11,Sunny,0,0,13.2,360,Zone_A_Downtown,Unavailable
8,3,7,Sunny,0,0,16.6,480,Zone_C_Shopping,Unavailable
1,0,12,Overcast,0,1,24.6,60,Zone_B_University,Available
20,0,8,Overcast,0,0,15.1,30,Zone_D_Residential,Available
8,1,8,Sunny,0,0,6.7,240,Zone_D_Residential,Unavailable
8,3,5,Heavy Rain,1,0,17.3,240,Zone_A_Downtown,Unavailable
7,6,1,Sunny,0,0,-10.7,60,Zone_A_Downtown,Available
16,0,11,Overcast,0,0,4.9,30,Zone_B_University,Available
0,1,4,Sunny,0,1,12.8,30,Zone_E_Airport,Unavailable
10,2,4,Cloudy,0,0,17.2,60,Zone_C_Shopping,Available
7,1,11,Overcast,0,0,17.6,360,Zone_B_University,Available
9,4,3,Overcast,0,0,8.8,360,Zone_B_University,Available
6,5,8,Light Rain,1,0,10.9,15,Zone_A_Downtown,Available
2,1,3,Light Rain,1,1,9.4,480,Zone_A_Downtown,Available
2,1,5,Sunny,0,0,17.5,120,Zone_E_Airport,Available
17,1,2,Overcast,0,0,16.3,120,Zone_E_Airport,Unavailable
4,6,6,Cloudy,0,0,11.2,30,Zone_A_Downtown,Unavailable
11,0,6,Light Rain,1,0,6.9,120,Zone_D_Residential,Unavailable
11,6,8,Overcast,0,0,15.1,180,Zone_E_Airport,Available
18,3,8,Sunny,0,0,12.8,240,Zone_B_University,Unavailable
5,1,1,Overcast,0,0,24.1,15,Zone_A_Downtown,Available
1,1,5,Heavy Rain,1,1,11.6,60,Zone_C_Shopping,Unavailable
11,4,2,Sunny,0,0,10.3,90,Zone_C_Shopping,Unavailable
18,4,10,Cloudy,0,0,5.4,240,Zone_D_Residential,Unavailable
4,2,12,Overcast,0,1,24.2,360,Zone_A_Downtown,Unavailable
11,2,5,Sunny,0,0,12.7,120,Zone_B_University,Available
16,4,10,Overcast,0,0,13.9,240,Zone_D_Residential,Unavailable
16,3,12,Sunny,0,0,25.7,30,Zone_B_University,Unavailable
9,2,9,Heavy Rain,1,1,21.3,360,Zone_C_Shopping,Unavailable
22,5,4,Light Rain,1,0,0.9,30,Zone_B_University,Available
16,5,8,Heavy Rain,1,0,21.6,60,Zone_C_Shopping,Unavailable
14,3,1,Cloudy,0,1,21.3,60,Zone_E_Airport,Available
11,4,8,Sunny,0,0,-2.0,180,Zone_C_Shopping,Unavailable
15,2,6,Cloudy,0,0,24.1,180,Zone_C_Shopping,Available
23,1,8,Cloudy,0,1,7.4,15,Zone_D_Residential,Available
18,4,6,Heavy Rain,1,0,18.1,30,Zone_D_Residential,Available
7,2,11,Light Rain,1,0,7.9,120,Zone_A_Downtown,Unavailable
20,3,3,Overcast,0,0,30.2,480,Zone_A_Downtown,Unavailable
16,5,12,Overcast,0,0,13.7,180,Zone_C_Shopping,Unavailable
22,3,11,Heavy Rain,1,0,19.2,180,Zone_E_Airport,Available
4,2,8,Light Rain,1,0,13.2,15,Zone_A_Downtown,Available
21,3,5,Overcast,0,1,3.6,360,Zone_C_Shopping,Unavailable
15,2,12,Cloudy,0,0,11.3,480,Zone_D_Residential,Available
5,2,10,Cloudy,0,0,0.8,120,Zone_A_Downtown,Available
7,3,5,Light Rain,1,0,14.4,60,Zone_A_Downtown,Unavailable
17,0,12,Light Rain,1,0,10.3,120,Zone_C_Shopping,Unavailable
11,1,7,Sunny,0,0,0.9,120,Zone_C_Shopping,Unavailable
14,4,6,Cloudy,0,0,8.4,15,Zone_B_University,Available
8,5,9,Light Rain,1,0,3.3,480,Zone_B_University,Unavailable
12,1,7,Overcast,0,0,8.3,30,Zone_E_Airport,Unavailable
14,4,3,Overcast,0,0,10.8,120,Zone_A_Downtown,Available
9,4,11,Cloudy,0,1,17.8,15,Zone_B_University,Unavailable
15,5,11,Overcast,0,0,5.0,240,Zone_C_Shopping,Unavailable
6,1,12,Overcast,0,0,5.4,240,Zone_A_Downtown,Unavailable
16,5,5,Cloudy,0,1,14.7,120,Zone_B_University,Unavailable
22,2,9,Heavy Rain,1,0,12.5,30,Zone_E_Airport,Available
20,5,11,Overcast,0,0,18.0,360,Zone_E_Airport,Unavailable
21,3,10,Light Rain,1,1,10.4,60,Zone_E_Airport,Unavailable
6,0,2,Sunny,0,0,16.4,120,Zone_E_Airport,Available
13,0,1,Light Rain,1,0,-11.2,180,Zone_C_Shopping,Available
14,0,11,Overcast,0,0,6.1,180,Zone_E_Airport,Available
20,1,8,Cloudy,0,0,12.3,360,Zone_D_Residential,Unavailable
6,1,8,Sunny,0,0,11.1,15,Zone_E_Airport,Unavailable
8,2,2,Cloudy,0,0,13.2,120,Zone_B_University,Unavailable
18,6,8,Cloudy,0,0,19.0,240,Zone_A_Downtown,Available
15,0,5,Sunny,0,0,7.8,120,Zone_B_University,Available
7,2,2,Overcast,0,0,14.4,360,Zone_A_Downtown,Unavailable
17,6,7,Cloudy,0,1,10.1,30,Zone_C_Shopping,Unavailable
22,0,7,Light Rain,1,0,15.7,120,Zone_A_Downtown,Available
17,1,3,Overcast,0,0,15.9,90,Zone_D_Residential,Available
19,6,1,Cloudy,0,0,3.2,60,Zone_E_Airport,Available
6,3,11,Cloudy,0,0,14.8,30,Zone_B_University,Available
2,3,4,Heavy Rain,1,0,16.7,360,Zone_A_Downtown,Available
17,3,2,Heavy Rain,1,0,13.2,90,Zone_B_University,Available
9,5,4,Cloudy,0,1,15.0,90,Zone_E_Airport,Unavailable
6,3,8,Overcast,0,0,13.3,90,Zone_C_Shopping,Unavailable
16,4,2,Heavy Rain,1,1,5.8,480,Zone_E_Airport,Unavailable
13,0,1,Heavy Rain,1,0,8.3,240,Zone_C_Shopping,Available
23,3,11,Sunny,0,1,13.4,60,Zone_B_University,Available
2,6,3,Overcast,0,0,11.4,120,Zone_C_Shopping,Available
11,4,10,Overcast,0,0,6.7,90,Zone_C_Shopping,Unavailable
12,4,7,Sunny,0,1,6.5,15,Zone_C_Shopping,Unavailable
1,4,12,Light Rain,1,1,11.4,90,Zone_C_Shopping,Available
2,2,6,Cloudy,0,0,0.9,240,Zone_C_Shopping,Available
4,6,6,Cloudy,0,0,8.0,120,Zone_A_Downtown,Available
10,2,7,Sunny,0,0,22.0,180,Zone_C_Shopping,Unavailable
7,4,8,Cloudy,0,0,14.2,180,Zone_C_Shopping,Unavailable
22,5,3,Sunny,0,0,8.4,240,Zone_E_Airport,Available
22,3,3,Heavy Rain,1,0,8.3,15,Zone_E_Airport,Available
11,0,10,Cloudy,0,0,31.2,180,Zone_E_Airport,Available
6,6,8,Sunny,0,0,11.7,480,Zone_C_Shopping,Unavailable
14,5,12,Sunny,0,0,16.3,120,Zone_E_Airport,Unavailable
23,1,7,Cloudy,0,0,6.2,240,Zone_A_Downtown,Available
16,2,10,Overcast,0,0,15.9,60,Zone_B_University,Available
3,3,5,Light Rain,1,0,1.0,90,Zone_E_Airport,Available
21,3,4,Heavy Rain,1,0,8.8,90,Zone_E_Airport,Unavailable
12,1,6,Overcast,0,0,9.7,180,Zone_A_Downtown,Unavailable
17,1,9,Cloudy,0,0,-5.2,60,Zone_D_Residential,Available
0,6,6,Cloudy,0,0,15.7,60,Zone_D_Residential,Unavailable
15,3,8,Overcast,0,0,8.0,120,Zone_A_Downtown,Available
12,1,1,Cloudy,0,0,18.6,30,Zone_E_Airport,Unavailable
9,3,12,Overcast,0,0,9.9,15,Zone_B_University,Unavailable
11,5,6,Cloudy,0,0,4.2,30,Zone_E_Airport,Available
1,6,2,Sunny,0,0,16.2,480,Zone_A_Downtown,Available
22,1,3,Cloudy,0,0,10.9,60,Zone_A_Downtown,Available
2,5,6,Sunny,0,1,12.3,60,Zone_C_Shopping,Available
9,5,2,Sunny,0,0,16.1,15,Zone_A_Downtown,Unavailable
1,1,4,Cloudy,0,0,13.7,30,Zone_C_Shopping,Available
22,6,6,Overcast,0,0,6.9,180,Zone_A_Downtown,Available
12,3,5,Sunny,0,0,-1.6,30,Zone_C_Shopping,Available
12,4,6,Sunny,0,0,4.4,360,Zone_C_Shopping,Unavailable
17,3,6,Cloudy,0,1,10.5,180,Zone_E_Airport,Unavailable
2,0,8,Sunny,0,0,11.8,30,Zone_C_Shopping,Available
6,1,9,Heavy Rain,1,0,23.6,180,Zone_D_Residential,Unavailable
13,2,5,Light Rain,1,0,28.6,30,Zone_A_Downtown,Available
19,6,6,Light Rain,1,0,11.1,15,Zone_B_University,Available
16,1,6,Overcast,0,1,15.5,120,Zone_A_Downtown,Unavailable
20,0,6,Heavy Rain,1,0,8.3,120,Zone_E_Airport,Unavailable
11,5,2,Overcast,0,1,6.6,360,Zone_E_Airport,Available
15,2,4,Cloudy,0,0,10.3,90,Zone_C_Shopping,Unavailable
23,2,1,Overcast,0,0,7.2,30,Zone_E_Airport,Available
11,3,12,Cloudy,0,0,6.0,240,Zone_E_Airport,Unavailable
14,4,1,Overcast,0,1,7.6,60,Zone_A_Downtown,Unavailable
9,3,1,Light Rain,1,0,6.5,60,Zone_D_Residential,Unavailable
6,6,7,Cloudy,0,0,12.1,360,Zone_D_Residential,Available
19,2,1,Overcast,0,0,13.2,60,Zone_C_Shopping,Available
4,2,6,Sunny,0,0,2.8,30,Zone_E_Airport,Available
0,4,2,Heavy Rain,1,0,14.8,480,Zone_E_Airport,Available
16,6,6,Sunny,0,0,11.3,360,Zone_D_Residential,Unavailable
2,1,6,Heavy Rain,1,0,10.4,30,Zone_C_Shopping,Available
12,4,12,Overcast,0,0,14.6,360,Zone_E_Airport,Available
13,5,11,Cloudy,0,0,24.0,120,Zone_C_Shopping,Unavailable
23,3,3,Cloudy,0,0,10.9,90,Zone_A_Downtown,Available
17,1,8,Cloudy,0,0,4.5,120,Zone_E_Airport,Unavailable
3,3,11,Light Rain,1,0,16.1,120,Zone_E_Airport,Available
17,4,4,Sunny,0,0,16.3,15,Zone_E_Airport,Unavailable
4,1,7,Sunny,0,0,14.1,120,Zone_D_Residential,Available
15,4,4,Sunny,0,0,11.8,240,Zone_D_Residential,Unavailable
0,5,1,Cloudy,0,1,3.2,360,Zone_E_Airport,Available
20,0,6,Cloudy,0,0,2.8,360,Zone_E_Airport,Available
13,2,5,Overcast,0,0,8.9,30,Zone_A_Downtown,Available
14,6,9,Heavy Rain,1,0,3.8,15,Zone_A_Downtown,Available
8,1,9,Light Rain,1,1,18.5,90,Zone_C_Shopping,Unavailable
14,2,12,Light Rain,1,1,-0.6,60,Zone_C_Shopping,Unavailable
16,0,11,Overcast,0,1,11.5,360,Zone_D_Residential,Unavailable
23,1,8,Sunny,0,0,10.8,180,Zone_B_University,Available
3,2,7,Cloudy,0,0,16.5,120,Zone_A_Downtown,Available
11,2,2,Sunny,0,0,17.8,480,Zone_C_Shopping,Available
4,1,8,Sunny,0,1,5.8,180,Zone_A_Downtown,Unavailable
4,2,3,Cloudy,0,0,22.3,180,Zone_A_Downtown,Available
10,2,6,Light Rain,1,0,3.6,15,Zone_B_University,Available
5,1,10,Overcast,0,0,18.9,480,Zone_A_Downtown,Available
6,6,7,Heavy Rain,1,0,16.8,30,Zone_B_University,Available
23,2,12,Sunny,0,0,-2.5,15,Zone_B_University,Unavailable
13,2,6,Cloudy,0,0,3.5,240,Zone_A_Downtown,Available
23,6,5,Light Rain,1,0,19.2,120,Zone_A_Downtown,Available
10,3,4,Cloudy,0,0,13.3,180,Zone_C_Shopping,Unavailable
12,5,2,Cloudy,0,0,12.5,90,Zone_A_Downtown,Available
1,3,9,Light Rain,1,0,-8.7,360,Zone_A_Downtown,Available
6,0,7,Cloudy,0,0,10.6,240,Zone_A_Downtown,Unavailable
19,3,7,Heavy Rain,1,0,6.6,15,Zone_C_Shopping,Available
3,3,4,Sunny,0,0,2.1,180,Zone_B_University,Available
7,0,5,Light Rain,1,0,17.4,60,Zone_C_Shopping,Available
19,2,6,Sunny,0,0,12.4,360,Zone_A_Downtown,Available
21,2,12,Sunny,0,0,5.1,180,Zone_E_Airport,Unavailable
20,3,11,Cloudy,0,0,5.9,180,Zone_A_Downtown,Available
18,0,12,Cloudy,0,0,12.9,120,Zone_C_Shopping,Available
12,2,2,Cloudy,0,0,15.7,360,Zone_C_Shopping,Available
13,4,4,Light Rain,1,0,18.0,180,Zone_D_Residential,Available
9,1,4,Light Rain,1,0,16.3,240,Zone_E_Airport,Unavailable
10,1,12,Cloudy,0,1,11.8,480,Zone_C_Shopping,Available
1,5,4,Cloudy,0,0,5.3,180,Zone_B_University,Available
8,1,7,Cloudy,0,0,14.7,180,Zone_A_Downtown,Unavailable
16,3,7,Sunny,0,0,4.1,480,Zone_B_University,Available
2,1,7,Overcast,0,0,12.8,180,Zone_C_Shopping,Available
23,1,7,Sunny,0,0,10.7,240,Zone_C_Shopping,Unavailable
5,4,2,Heavy Rain,1,0,18.4,90,Zone_B_University,Available
4,2,5,Cloudy,0,0,17.8,120,Zone_B_University,Available
4,4,10,Overcast,0,0,16.7,360,Zone_D_Residential,Available
21,3,2,Light Rain,1,0,15.8,120,Zone_A_Downtown,Available
14,1,5,Sunny,0,0,11.3,90,Zone_B_University,Unavailable
22,6,12,Cloudy,0,0,24.4,360,Zone_A_Downtown,Available
16,2,6,Sunny,0,0,16.7,120,Zone_E_Airport,Unavailable
8,5,3,Cloudy,0,0,23.9,30,Zone_C_Shopping,Available
2,5,6,Overcast,0,0,20.4,360,Zone_B_University,Available
19,1,5,Sunny,0,0,8.6,360,Zone_E_Airport,Available
16,1,4,Overcast,0,0,7.5,240,Zone_C_Shopping,Unavailable
9,5,10,Cloudy,0,0,15.9,480,Zone_D_Residential,Unavailable
2,5,9,Cloudy,0,0,2.5,480,Zone_C_Shopping,Available
17,6,11,Heavy Rain,1,0,9.2,90,Zone_B_University,Available
17,3,8,Cloudy,0,0,6.5,240,Zone_E_Airport,Available
16,1,12,Cloudy,0,0,11.8,15,Zone_E_Airport,Unavailable
23,5,7,Cloudy,0,0,-5.0,15,Zone_E_Airport,Available
2,6,11,Overcast,0,0,29.1,60,Zone_C_Shopping,Available
2,0,1,Cloudy,0,0,17.6,180,Zone_A_Downtown,Unavailable
5,5,9,Light Rain,1,0,20.3,360,Zone_A_Downtown,Unavailable
12,2,9,Sunny,0,1,13.2,120,Zone_C_Shopping,Unavailable
23,2,6,Sunny,0,1,21.6,60,Zone_B_University,Available
14,0,7,Overcast,0,0,16.5,30,Zone_C_Shopping,Unavailable
8,3,3,Sunny,0,0,18.6,360,Zone_A_Downtown,Unavailable
3,1,5,Sunny,0,0,15.9,480,Zone_C_Shopping,Available
13,1,7,Sunny,0,0,22.9,240,Zone_E_Airport,Available
4,5,1,Heavy Rain,1,0,6.4,180,Zone_B_University,Available
1,2,12,Sunny,0,1,24.5,30,Zone_B_University,Unavailable
10,3,1,Sunny,0,1,10.7,30,Zone_D_Residential,Available
8,3,5,Light Rain,1,0,5.6,180,Zone_C_Shopping,Available
23,3,9,Heavy Rain,1,0,15.5,480,Zone_E_Airport,Available
2,5,7,Overcast,0,0,3.2,480,Zone_C_Shopping,Unavailable
8,1,1,Heavy Rain,1,0,8.1,480,Zone_D_Residential,Unavailable
2,3,12,Light Rain,1,0,9.8,60,Zone_D_Residential,Available
1,5,5,Cloudy,0,0,10.3,60,Zone_C_Shopping,Unavailable
11,5,8,Cloudy,0,0,19.8,480,Zone_C_Shopping,Unavailable
9,0,8,Overcast,0,0,18.6,120,Zone_C_Shopping,Unavailable
8,4,12,Cloudy,0,0,9.5,60,Zone_A_Downtown,Available
14,3,2,Sunny,0,0,15.5,240,Zone_D_Residential,Available
7,4,7,Heavy Rain,1,0,28.9,180,Zone_B_University,Available
4,1,10,Overcast,0,0,2.4,60,Zone_A_Downtown,Available
10,5,5,Light Rain,1,0,4.0,180,Zone_E_Airport,Unavailable
1,6,9,Overcast,0,0,12.4,480,Zone_B_University,Available
23,3,3,Cloudy,0,0,33.7,30,Zone_B_University,Available
14,6,1,Heavy Rain,1,0,5.4,120,Zone_B_University,Available
5,2,4,Light Rain,1,1,7.3,120,Zone_D_Residential,Available
7,1,7,Cloudy,0,1,16.5,180,Zone_E_Airport,Unavailable
4,0,1,Light Rain,1,0,19.6,30,Zone_A_Downtown,Available
15,0,2,Sunny,0,0,12.1,180,Zone_E_Airport,Unavailable
17,4,5,Overcast,0,0,13.8,15,Zone_A_Downtown,Available
5,5,9,Sunny,0,0,11.9,240,Zone_D_Residential,Available
4,4,1,Light Rain,1,0,13.4,15,Zone_E_Airport,Available
15,2,12,Overcast,0,0,0.4,30,Zone_B_University,Available
12,2,4,Sunny,0,1,13.4,90,Zone_E_Airport,Unavailable
4,0,12,Sunny,0,0,12.3,120,Zone_D_Residential,Available
12,6,3,Cloudy,0,1,14.9,15,Zone_D_Residential,Unavailable
16,3,5,Overcast,0,0,7.7,15,Zone_D_Residential,Unavailable
17,0,5,Sunny,0,0,16.0,120,Zone_A_Downtown,Unavailable
7,0,10,Heavy Rain,1,0,18.5,180,Zone_E_Airport,Unavailable
12,6,2,Heavy Rain,1,0,32.2,60,Zone_B_University,Available
18,6,5,Overcast,0,1,8.3,120,Zone_B_University,Unavailable
2,2,9,Cloudy,0,0,4.2,30,Zone_C_Shopping,Available
23,6,5,Light Rain,1,0,13.4,360,Zone_D_Residential,Available
7,4,11,Light Rain,1,0,16.2,60,Zone_B_University,Available
1,2,10,Sunny,0,0,13.0,60,Zone_D_Residential,Available
7,6,2,Cloudy,0,0,13.0,480,Zone_B_University,Available
12,5,7,Heavy Rain,1,0,7.6,90,Zone_E_Airport,Available
12,2,6,Cloudy,0,0,-0.5,60,Zone_C_Shopping,Unavailable
0,2,7,Heavy Rain,1,0,22.0,120,Zone_D_Residential,Available
5,0,8,Heavy Rain,1,0,24.9,180,Zone_A_Downtown,Available
23,3,10,Cloudy,0,0,6.1,15,Zone_A_Downtown,Available
18,0,5,Heavy Rain,1,0,7.1,240,Zone_B_University,Unavailable
15,1,2,Sunny,0,0,-0.7,90,Zone_E_Airport,Unavailable
7,2,7,Sunny,0,1,8.8,480,Zone_D_Residential,Unavailable
0,6,7,Sunny,0,0,14.7,30,Zone_C_Shopping,Unavailable
15,6,8,Cloudy,0,0,6.8,30,Zone_E_Airport,Unavailable
8,6,7,Sunny,0,0,18.0,30,Zone_B_University,Unavailable
12,2,10,Cloudy,0,0,4.5,360,Zone_E_Airport,Unavailable
10,6,7,Sunny,0,1,17.0,30,Zone_C_Shopping,Unavailable
12,1,9,Cloudy,0,0,14.5,90,Zone_E_Airport,Unavailable
20,2,8,Light Rain,1,0,9.3,15,Zone_D_Residential,Unavailable
9,6,2,Overcast,0,0,10.0,90,Zone_B_University,Unavailable
3,2,2,Light Rain,1,0,17.7,180,Zone_C_Shopping,Available
5,5,7,Sunny,0,0,33.8,180,Zone_B_University,Available
6,2,10,Cloudy,0,0,11.0,60,Zone_D_Residential,Available
4,1,11,Sunny,0,0,20.0,480,Zone_C_Shopping,Available
10,0,10,Cloudy,0,0,25.0,120,Zone_C_Shopping,Available
12,2,3,Overcast,0,0,6.7,480,Zone_B_University,Available
18,3,1,Overcast,0,0,4.9,30,Zone_E_Airport,Unavailable
22,1,9,Sunny,0,0,12.1,60,Zone_E_Airport,Available
9,4,3,Sunny,0,0,13.4,240,Zone_A_Downtown,Unavailable
9,5,1,Cloudy,0,1,16.0,120,Zone_A_Downtown,Unavailable
10,1,6,Light Rain,1,0,5.6,480,Zone_C_Shopping,Available
20,0,4,Sunny,0,0,18.0,30,Zone_B_University,Unavailable
6,6,1,Overcast,0,0,3.1,480,Zone_C_Shopping,Available
17,6,4,Sunny,0,0,11.9,360,Zone_B_University,Unavailable
3,1,8,Heavy Rain,1,0,14.5,120,Zone_D_Residential,Available
1,4,11,Cloudy,0,0,1.0,15,Zone_A_Downtown,Available
13,6,7,Sunny,0,0,15.4,15,Zone_C_Shopping,Unavailable
12,5,12,Overcast,0,0,10.2,240,Zone_D_Residential,Available
11,3,1,Cloudy,0,0,8.4,30,Zone_E_Airport,Available
6,4,10,Light Rain,1,0,14.5,15,Zone_A_Downtown,Available
1,1,12,Overcast,0,0,0.3,60,Zone_B_University,Available
12,4,9,Overcast,0,0,15.2,30,Zone_E_Airport,Unavailable
13,6,6,Light Rain,1,0,2.4,60,Zone_E_Airport,Available
16,6,2,Cloudy,0,0,14.8,480,Zone_D_Residential,Unavailable
8,1,3,Light Rain,1,0,12.9,480,Zone_C_Shopping,Unavailable
16,6,7,Sunny,0,0,24.0,480,Zone_C_Shopping,Unavailable
7,6,3,Light Rain,1,0,24.0,180,Zone_D_Residential,Available
1,3,3,Overcast,0,1,18.2,60,Zone_E_Airport,Available
23,3,5,Overcast,0,0,11.4,180,Zone_A_Downtown,Available
12,0,3,Cloudy,0,0,11.9,60,Zone_E_Airport,Available
2,3,3,Sunny,0,0,2.9,360,Zone_D_Residential,Available
15,2,11,Overcast,0,0,-2.4,120,Zone_E_Airport,Unavailable
5,4,5,Cloudy,0,0,20.6,30,Zone_E_Airport,Available
18,4,5,Sunny,0,0,8.5,120,Zone_E_Airport,Available
6,1,12,Sunny,0,0,4.9,60,Zone_E_Airport,Unavailable
9,3,9,Cloudy,0,0,-2.2,30,Zone_A_Downtown,Available
8,0,1,Sunny,0,1,13.1,360,Zone_B_University,Unavailable
1,6,1,Heavy Rain,1,1,9.9,480,Zone_B_University,Available
14,0,11,Sunny,0,0,6.5,60,Zone_C_Shopping,Available
4,0,9,Sunny,0,0,6.1,90,Zone_B_University,Available
21,5,5,Sunny,0,0,14.1,240,Zone_B_University,Available
3,6,4,Sunny,0,0,12.4,240,Zone_B_University,Available
19,2,2,Light Rain,1,0,-1.8,30,Zone_E_Airport,Unavailable
3,3,12,Sunny,0,0,4.8,15,Zone_E_Airport,Available
17,6,9,Sunny,0,0,18.9,60,Zone_A_Downtown,Available
3,0,6,Heavy Rain,1,0,5.9,30,Zone_E_Airport,Available
16,6,9,Sunny,0,0,19.3,360,Zone_E_Airport,Unavailable
11,2,5,Sunny,0,0,12.0,120,Zone_B_University,Unavailable
21,4,4,Cloudy,0,0,8.1,480,Zone_A_Downtown,Unavailable
16,1,7,Cloudy,0,0,8.7,240,Zone_A_Downtown,Unavailable
9,3,5,Light Rain,1,0,16.6,15,Zone_B_University,Unavailable
21,3,8,Heavy Rain,1,0,4.4,180,Zone_B_University,Available
0,5,8,Light Rain,1,0,1.2,90,Zone_A_Downtown,Unavailable
21,4,2,Overcast,0,0,6.1,15,Zone_D_Residential,Available
23,3,5,Heavy Rain,1,0,1.9,30,Zone_B_University,Available
17,5,10,Light Rain,1,0,3.4,15,Zone_B_University,Available
17,5,8,Sunny,0,1,3.3,120,Zone_A_Downtown,Unavailable
13,5,3,Cloudy,0,0,13.0,120,Zone_D_Residential,Unavailable
14,3,7,Cloudy,0,0,-3.8,90,Zone_D_Residential,Unavailable
11,3,3,Cloudy,0,0,12.7,15,Zone_C_Shopping,Unavailable
3,3,6,Sunny,0,0,11.0,15,Zone_D_Residential,Available
2,2,2,Overcast,0,0,17.6,240,Zone_B_University,Available
19,5,6,Sunny,0,0,14.4,480,Zone_E_Airport,Available
11,2,6,Overcast,0,0,14.1,240,Zone_A_Downtown,Available
6,1,8,Cloudy,0,0,3.9,90,Zone_B_University,Unavailable
10,3,5,Cloudy,0,1,8.6,90,Zone_A_Downtown,Unavailable
0,6,1,Cloudy,0,0,-0.3,480,Zone_D_Residential,Available
5,4,8,Cloudy,0,0,21.3,180,Zone_A_Downtown,Available
14,0,12,Overcast,0,0,22.7,30,Zone_B_University,Available
14,1,9,Light Rain,1,0,15.6,15,Zone_E_Airport,Unavailable
18,6,1,Cloudy,0,0,2.1,180,Zone_B_University,Unavailable
10,0,5,Overcast,0,0,17.0,15,Zone_C_Shopping,Available
22,0,12,Light Rain,1,0,8.2,60,Zone_A_Downtown,Available
1,3,6,Sunny,0,0,-1.5,180,Zone_B_University,Available
13,4,4,Sunny,0,0,8.9,120,Zone_D_Residential,Available
1,0,11,Cloudy,0,0,20.1,480,Zone_D_Residential,Available
3,5,2,Cloudy,0,0,10.2,180,Zone_B_University,Available
16,6,5,Heavy Rain,1,0,12.8,60,Zone_C_Shopping,Unavailable
2,0,4,Overcast,0,0,2.3,90,Zone_A_Downtown,Available
12,1,7,Cloudy,0,1,10.0,120,Zone_C_Shopping,Available
8,4,6,Overcast,0,0,9.7,90,Zone_E_Airport,Unavailable
6,4,3,Light Rain,1,0,3.7,60,Zone_B_University,Unavailable
14,0,9,Sunny,0,1,13.3,480,Zone_C_Shopping,Unavailable
22,4,4,Cloudy,0,0,9.7,480,Zone_E_Airport,Available
10,1,11,Sunny,0,0,16.2,120,Zone_C_Shopping,Unavailable
19,6,5,Light Rain,1,0,7.7,15,Zone_E_Airport,Unavailable
1,1,3,Light Rain,1,0,13.0,15,Zone_D_Residential,Available
14,1,8,Heavy Rain,1,0,6.0,240,Zone_D_Residential,Available
13,5,11,Cloudy,0,0,-0.9,60,Zone_B_University,Available
19,3,7,Sunny,0,0,20.4,360,Zone_C_Shopping,Available
21,0,11,Light Rain,1,0,8.1,180,Zone_D_Residential,Unavailable
10,6,11,Light Rain,1,0,4.5,180,Zone_A_Downtown,Available
2,4,7,Sunny,0,0,16.0,180,Zone_D_Residential,Available
16,1,8,Sunny,0,0,12.0,180,Zone_D_Residential,Unavailable
11,0,7,Cloudy,0,0,1.3,60,Zone_C_Shopping,Available
23,6,3,Cloudy,0,0,10.2,180,Zone_E_Airport,Available
20,6,3,Light Rain,1,0,-1.4,60,Zone_A_Downtown,Unavailable
14,0,2,Sunny,0,0,6.5,120,Zone_A_Downtown,Available
15,3,1,Overcast,0,0,22.7,15,Zone_E_Airport,Unavailable
